trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.1999999999999997, 'e': 0.10228420671553744}",35,13,38.6372896498544,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1999999999999997, 'e': 0.1002588437228037}",20,0,18.558634699521008,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.1999999999999997, 'e': 0.09827358560436154}",20,0,6.46605597826339,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.1999999999999997, 'e': 0.09632763823049303}",30,18,21.61602076785682,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1999999999999997, 'e': 0.09442022319630235}",25,17,6.8264763590310515,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1999999999999997, 'e': 0.09255057751034329}",20,8,-38.16556461368091,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.1999999999999997, 'e': 0.09071795328941251}",25,6,31.35479986910919,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1999999999999997, 'e': 0.08892161745938634}",30,7,38.60919543571603,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1999999999999997, 'e': 0.0871608514619813}",20,5,24.087063707396158,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1999999999999997, 'e': 0.08543495096732123}",20,0,22.134869607238567,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.1999999999999997, 'e': 0.08374322559219596}",25,0,-22.573212921432948,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
126,False,"{'a': 0.1999999999999997, 'e': 0.0820849986238988}",20,12,12.876105065848854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1999999999999997, 'e': 0.08045960674953244}",30,8,31.064862626736463,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1999999999999997, 'e': 0.07886639979067495}",25,5,17.953686952358698,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.1999999999999997, 'e': 0.07730474044329974}",25,0,43.14412059676723,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.1999999999999997, 'e': 0.07577400402284548}",25,2,39.807140579482535,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1999999999999997, 'e': 0.07427357821433388}",25,17,15.301905692970973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1999999999999997, 'e': 0.07280286282743559}",25,10,27.59222791663344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1999999999999997, 'e': 0.07136126955638605}",25,3,24.66057447556713,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999997, 'e': 0.06994822174465536}",20,0,26.141801514765056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.1999999999999997, 'e': 0.06856315415427791}",20,0,27.44532250245596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.1999999999999997, 'e': 0.06720551273974976}",20,3,28.88506169876565,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1999999999999997, 'e': 0.06587475442640295}",25,16,17.071469329578484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1999999999999997, 'e': 0.06457034689316847}",20,14,13.994672630287225,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1999999999999997, 'e': 0.0632917683596407}",20,5,25.57361606164259,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1999999999999997, 'e': 0.06203850737735829}",25,13,22.01755292557371,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1999999999999997, 'e': 0.06081006262521795}",20,0,28.367706627933867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.1999999999999997, 'e': 0.05960594270893937}",20,6,21.51286324736213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999997, 'e': 0.05842566596450083}",25,12,22.778086457646854,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999997, 'e': 0.05726876026546736}",20,9,6.603601224566477,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999997, 'e': 0.056134762834133725}",20,8,10.128965476830716,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.1999999999999997, 'e': 0.05502322005640723}",20,11,14.358897092210691,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1999999999999997, 'e': 0.05393368730035602}",20,0,30.14137271962407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1999999999999997, 'e': 0.05286572873835037}",25,10,24.2165388703394,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999997, 'e': 0.05181891717272583}",30,8,26.568558086633306,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.1999999999999997, 'e': 0.0507928338648985}",25,0,37.22108860274091,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.1999999999999997, 'e': 0.049787068367863944}",30,15,26.85514192830708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1999999999999997, 'e': 0.04880121836201296}",25,8,31.438397254525164,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1999999999999997, 'e': 0.04783488949419837}",20,7,22.827970065430307,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1999999999999997, 'e': 0.046887695219988486}",20,7,24.054404214265677,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1999999999999997, 'e': 0.045959256649044204}",20,0,18.208792089104758,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.1999999999999997, 'e': 0.0450492023935578}",20,1,7.866875968392733,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.1999999999999997, 'e': 0.04415716841969286}",20,11,19.11326144328791,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
